country,director,genre,imdb_rating,title,year
Россия,Никита Михалков,документальный фильм,,55,2007
Австралия,Мулари К. Теллури […],драматический фильм,6.8,2:37,2006
Бразилия,Марко Фиорито,порнофильм и ЛГБТ-фильм,4.2,2 Girls 1 Cup,2007
Индия,Раджкумар Хирани,комедия / драма,8.4,3 идиота,2009
Франция,Жан-Луи Гийерму,комедия,3.8,2 дурня в снегу,1977
США,Рассел Малкэхи,биографическая спортивная драма,6.7,3: История Дейла Эрнхардта,
Россия,Сергей Соловьёв,драма,4.7,2-Асса-2,2008
США,Гэбриэль Коуэн,драма,4.6,3 ночи в пустыне,2014
США Австралия,Пол Карри (англ.) ( рус.,триллер,5.7,2:22,2017
США,Бенни Бум,байопик драма боевик,5.9,2pac: Легенда,2017
Канада,Манон Брайан,комедия,6.6,2 секунды,1998
Франция Великобритания,Хьюго Желен,Музыка к фильму,7.3,2+1,2016
США,Шон Уолтман Чайна,порнофильм,2.6,1 Night in China,2004
США,Нил Бёргер,комедийная драма,7.0,1+1: Голливудская история,2017
СССР,Амасий Мартиросян,комедия,7.7,01-99,1959
СССР,Генрих Габай,"драма, приключения",7.9,49 дней,1962
Франция Германия,Жюли Дельпи,комедия драма мелодрама,6.7,2 дня в Париже,2007
США,Ив Симоно.,"боевик, драма, криминал.",6.3,44 минуты: Бойня в северном Голливуде,2003
Великобритания,Эндрю Хэйг,драма,7.1,45 лет,2015
США Япония,Карл Ринш,фэнтези боевик драма,6.2,47 ронинов,2013
США,Гари Леннон,драма,5.5,45-й калибр,2006
США,Николас Рэй,"драма, исторический, военный",6.7,55 дней в Пекине,1963
Испания Мексика,Мануэль Мартин Куенка,драма комедия,6.5,Автор,2017
США,Дж. Стюарт Блэктон,драма,7.7,Автомобильные воры,
Франция Нью-Йорк (съёмки) Германия (съёмки) Сибирь (съёмки),Жорж Мельес,фантастика,5.5,Автопробег «Париж — Нью-Йорк»,1908
СССР,Ролан Быков,комедия музыкальный фильм сказка,6.7,"Автомобиль, скрипка и собака Клякса",1974
СССР,Леонид Пчёлкин,драматический фильм,6.2,Активная зона,1979
Россия,Игорь Калёнов,исторический фильм боевик,4.8,Александр. Невская битва,2008
Россия,Александр Сокуров,драма,6.8,Александра,2007
США / Мексика,Дамиано Дамиани,ужасы / триллер,5.6,Амитивилль 2: Одержимость,1982
СССР,"Герберт Раппапорт, Виктор Эйсымонт",кинобиография,7.0,Александр Попов,1949
США Мексика,Ричард Флейшер,ужасы / триллер,4.2,Амитивилль 3-D,1983
США,Стивен Спилберг […],историческая драма,7.3,Амистад,1997
Италия,Джо Д'Амато,фильм ужасов,5.3,Антропофаг,1980
СССР,Александр Сурин,"социальная драма, производственный фильм",5.7,Антрацит,1971
Франция,Жак Беккер,комедия,7.4,Антуан и Антуанетта,1947
США,Даг Эллин,комедия драма,6.5,Антураж,2015
Россия,Александр Згуриди,драма,5.7,Балерина,1993
Чехия Великобритания Франция,Шон Эллис (англ.) ( рус.,военная драма,7.2,Антропоид,2016
США,Уинчел Смит,комедия,6.1,Балда,1920
США,Джозеф Гузман,триллер,4.1,"Беги, сука, беги",2009
США,Ричард Доннер,приключенческий фильм комедия,7.7,Балбесы,1985
Германия,Том Тыквер,триллер,7.7,"Беги, Лола, беги",1998
СССР,Владимир Роговой,комедия,6.8,Баламут,1978
Турция,Али Озгентюрк,драма,6.3,Балалайка,2000
Германия,Дитрих Брюггеманн,драма,7.2,"Беги, если сможешь!",2010
Франция Бельгия Великобритания,Себастьен Лифшиц,драма,6.4,Безумие,2004
Россия,Карен Шахназаров,военная фантастика,6.1,«Белый тигр»,2012
"Великобритания, Ирландия",Дэвид Маккензи,"драма, мелодрама, триллер",6.1,Безумие,2005
США,Дэнни Хьюстон,триллер,4.8,Безумие,1995
Россия,Алиса Хазанова,драма детектив психологический триллер,6.1,Белый список,2023
США Индия,Рамин Бахрани,драматический фильм,7.1,Белый тигр,2021
США,Джонатан Левайн,драма,6.9,Безумие,2008
США,Скотт Маршалл,"комедия, драма",3.9,Блондинка с амбициями,2007
Канада,Дин Хэмильтон / Dean Hamilton,комедия,2.8,Блондинка и блондинка,2008
США,Сэвидж Стив Холланд,комедия,3.6,Блондинки в законе,2009
Италия Великобритания,Стефано Мордини,исторический фильм,5.8,Большая гонка. Лянча против Ауди,2024
"СССР, Чехословакия",Юрий Озеров,комедия,6.9,Большая дорога,1962
Италия Франция Германия Югославия,Джилло Понтекорво,драма,6.9,Большая голубая дорога,1957
СССР,Владимир Бортко,"трагикомедия, мелодрама",6.5,Блондинка за углом,1984
США,Эдвин Стэнтон Портер,вестерн,7.3,Большое ограбление поезда,1903
